#,Constituency,Name,Party,Party
3,Karimnagar,Bandi Sanjay Kumar,,Bharatiya Janata Party
4,Nizamabad,Dharmapuri Arvind,,
5,Zahirabad,B. B. Patil(Switched from BRS to BJP)[15],,Bharat Rashtra Samithi
,Bharatiya Janata Party,,,
6,Medak,Kotha Prabhakar Reddy(Resigned on 13 December 2023),,Bharat Rashtra Samithi
Vacant,Vacant,Vacant,,
7,Malkajgiri,A. Revanth Reddy(Resigned on 8 December 2023),,Indian National Congress
Vacant,Vacant,Vacant,,
8,Secunderabad,G. Kishan Reddy,,Bharatiya Janata Party
9,Hyderabad,Asaduddin Owaisi,,All India Majlis-e-Ittehadul Muslimeen
10,Chevella,G. Ranjith Reddy,,Indian National Congress
11,Mahabubnagar,Manne Srinivas Reddy,,Bharat Rashtra Samithi
12,Nagarkurnool(SC),Pothuganti Ramulu(Switched from BRS to BJP)[16],,Bharat Rashtra Samithi
,Bharatiya Janata Party,,,
13,Nalgonda,N. Uttam Kumar Reddy(Resigned on 6 December 2023),,Indian National Congress
Vacant,Vacant,Vacant,,
14,Bhongir,Komatireddy Venkat Reddy(Resigned on 8 December 2023),,Indian National Congress
Vacant,Vacant,Vacant,,
15,Warangal(SC),Pasunuri Dayakar,,Indian National Congress
16,Mahabubabad(ST),Kavitha Maloth,,Bharat Rashtra Samithi
17,Khammam,Nama Nageswara Rao,,
1,Tripura West,Pratima Bhoumik,,Bharatiya Janata Party
2,Tripura East(ST),Rebati Tripura,,
1,Saharanpur,Haji Fazlur Rehman,,Bahujan Samaj Party
2,Kairana,Pradeep Kumar Choudhary,,Bharatiya Janata Party
3,Muzaffarnagar,Sanjeev Kumar Balyan,,
4,Bijnor,Malook Nagar,,Bahujan Samaj Party
5,Nagina(SC),Girish Chandra,,
6,Moradabad,S. T. Hasan,,Samajwadi Party
7,Rampur,Azam Khan(Resigned on 22 March 2022),,
Ghanshyam Singh Lodhi(Elected on 26 June 2022),,Bharatiya Janata Party,,
8,Sambhal,Shafiqur Rehman Barq(Died on 27 February 2024),,Samajwadi Party
Vacant,Vacant,Vacant,,
9,Amroha,Kunwar Danish Ali(Won on BSP ticket but later joined INC,,Indian National Congress
10,Meerut,Rajendra Agrawal,,Bharatiya Janata Party
11,Baghpat,Satya Pal Singh,,
12,Ghaziabad,V. K. Singh,,
13,Gautam Buddh Nagar,Mahesh Sharma,,
14,Bulandshahr(SC),Bhola Singh,,
15,Aligarh,Satish Kumar Gautam,,
16,Hathras(SC),Rajvir Singh Diler,,
17,Mathura,Hema Malini,,
18,Agra(SC),Satya Pal Singh Baghel,,
19,Fatehpur Sikri,Rajkumar Chahar,,
20,Firozabad,Chandrasen Jadon,,
21,Mainpuri,Mulayam Singh Yadav(Died on 10 October 2022)[17],,Samajwadi Party
Dimple Yadav(Elected on 8 December 2022),,,,
22,Etah,Rajveer Singh,,Bharatiya Janata Party
23,Badaun,Sanghmitra Maurya,,
24,Aonla,Dharmendra Kashyap,,
25,Bareilly,Santosh Gangwar,,
26,Pilibhit,Varun Gandhi,,
27,Shahjahanpur(SC),Arun Kumar Sagar,,
28,Kheri,Ajay Kumar Mishra,,
29,Dhaurahra,Rekha Verma,,
30,Sitapur,Rajesh Verma,,
31,Hardoi(SC),Jai Prakash Rawat,,
32,Misrikh(SC),Ashok Kumar Rawat,,
33,Unnao,Sakshi Maharaj,,
34,Mohanlalganj(SC),Kaushal Kishore,,
35,Lucknow,Rajnath Singh,,
36,Rae Bareli,Sonia Gandhi,,Indian National Congress
37,Amethi,Smriti Irani,,Bharatiya Janata Party
38,Sultanpur,Maneka Gandhi,,
39,Pratapgarh,Sangam Lal Gupta,,
40,Farrukhabad,Mukesh Rajput,,
41,Etawah(SC),Ram Shankar Katheria,,
42,Kannauj,Subrat Pathak,,
43,Kanpur,Satyadev Pachauri,,
44,Akbarpur,Devendra Singh Bhole,,
45,Jalaun(SC),Bhanu Pratap Singh Verma,,
46,Jhansi,Anurag Sharma,,
47,Hamirpur,Pushpendra Singh Chandel,,
48,Banda,R. K. Singh Patel,,
49,Fatehpur,Niranjan Jyoti,,
50,Kaushambi(SC),Vinod Sonkar,,
51,Phulpur,Keshari Devi Patel,,
52,Allahabad,Rita Bahuguna Joshi,,
53,Barabanki(SC),Upendra Singh Rawat,,
54,Faizabad,Lallu Singh,,
55,Ambedkar Nagar,Ritesh Pandey,,
